m1,m2,m3,m6,repository,version,ncloc,code_quality,testing_status,Maintainability,Reliability,Total_QR
0.16666666666666666,0.0,1.0,0.3333333333333333,fga-eps-mds-2021-2-MeasureSoftGram-Core,1.0.0,11,0.385,0.3333333333333333,0.385,0.3333333333333333,0.35916666666666663
0.3,0.1,1.0,0.6,fga-eps-mds-2021-2-MeasureSoftGram-Core,1.0.1,128,0.462,0.6,0.462,0.6,0.531
0.3,0.1,1.0,0.6,fga-eps-mds-2021-2-MeasureSoftGram-Core,1.0.2,128,0.462,0.6,0.462,0.6,0.531
0.3,0.1,1.0,0.6,fga-eps-mds-2021-2-MeasureSoftGram-Core,1.0.3,128,0.462,0.6,0.462,0.6,0.531
0.3,0.1,1.0,0.6,fga-eps-mds-2021-2-MeasureSoftGram-Core,1.0.4,128,0.462,0.6,0.462,0.6,0.531
0.3,0.1,1.0,0.6,fga-eps-mds-2021-2-MeasureSoftGram-Core,1.0.5,128,0.462,0.6,0.462,0.6,0.531
0.3,0.1,1.0,0.6,fga-eps-mds-2021-2-MeasureSoftGram-Core,1.0.6,128,0.462,0.6,0.462,0.6,0.531
0.3,0.1,1.0,0.6,fga-eps-mds-2021-2-MeasureSoftGram-Core,1.0.7,128,0.462,0.6,0.462,0.6,0.531
0.36363636363636365,0.0,1.0,0.6363636363636364,fga-eps-mds-2021-2-MeasureSoftGram-Core,1.1.0,195,0.45,0.6363636363636364,0.45,0.6363636363636364,0.5431818181818182
0.36363636363636365,0.0,1.0,0.6363636363636364,fga-eps-mds-2021-2-MeasureSoftGram-Core,1.2.0,195,0.45,0.6363636363636364,0.45,0.6363636363636364,0.5431818181818182
0.5333333333333333,0.0,1.0,0.7333333333333333,fga-eps-mds-2021-2-MeasureSoftGram-Core,1.3.0,330,0.506,0.7333333333333333,0.506,0.7333333333333333,0.6196666666666666
0.5333333333333333,0.0,1.0,0.7333333333333333,fga-eps-mds-2021-2-MeasureSoftGram-Core,2.0.0,330,0.506,0.7333333333333333,0.506,0.7333333333333333,0.6196666666666666
0.5333333333333333,0.0,1.0,0.7333333333333333,fga-eps-mds-2021-2-MeasureSoftGram-Core,2.0.1,334,0.506,0.7333333333333333,0.506,0.7333333333333333,0.6196666666666666
0.5333333333333333,0.0,1.0,0.7333333333333333,fga-eps-mds-2021-2-MeasureSoftGram-Core,2.0.2,341,0.506,0.7333333333333333,0.506,0.7333333333333333,0.6196666666666666
0.5333333333333333,0.0,1.0,0.7333333333333333,fga-eps-mds-2021-2-MeasureSoftGram-Core,2.1.0,341,0.506,0.7333333333333333,0.506,0.7333333333333333,0.6196666666666666
0.5333333333333333,0.0,1.0,0.7333333333333333,fga-eps-mds-2021-2-MeasureSoftGram-Core,2.2.0,384,0.506,0.7333333333333333,0.506,0.7333333333333333,0.6196666666666666
